,Date,User,Tweet
0,2022-07-20 23:07:57+00:00,korea_odyssey,"Actor #KimSeonho on Wednesday publicly apologized over controversies involving his former girlfriend while making his first public appearance in about nine months.
ğŸ§ğŸ§ğŸ§

#ê¹€ì„ í˜¸ #koreanactor #moviestar #scandal 

https://t.co/cd2u8m0a24 https://t.co/H91RBuhsAU"
1,2022-06-06 07:16:03+00:00,kabin_id,"Kutukan Marga Kim: Kim Seon Ho, Kim Sae Ron dan Bintang Korea Lainnya yang Terlibat Skandal https://t.co/qYAtlhv6QE lewat @kabin_id #KimSeonHo #KimSaeRon #kimjisoo #KimHyunJoong #Korean #kdrama #actorslife #Scandal"
2,2022-05-11 15:00:54+00:00,noonamel18,"Kim Seon Ho Hampir Hapus Akun Instagram Saat Diterpa Kontroversi, Sosok Ini Melarang! https://t.co/faOOoY52bW via @kabin_id #Kimseonho #SeonhoHada #actor #SCANDAL"
3,2021-11-19 02:22:14+00:00,noonamel18,Kim Seon Ho Akan Hadiri Pembacaan Naskah Pertama Film Sad Tropics di Desember https://t.co/TgCVzrFSXF #KimSeonHo #SadTropical #sadtropics #korean #film #movies #Scandal #Viral #Trending #trend #Treasure #kdrama #actor #koreanboy #trendingtopic #TrendingNews #kmovie
4,2021-10-27 05:01:13+00:00,tasnandy,"Akhirnyaaaa Dispatch turun gunung 

https://t.co/XlNE43T8IZ

#Dispatchkorea #KimSeonHo #ChoiYoungAh #Scandal https://t.co/bGpVpoGSQS"
5,2021-10-26 23:48:18+00:00,noonamel18,"Kupas Tuntas Sejarah Kencan Kim Seon Ho dan Choi Young Ah oleh Dispatch, Simak Kisah Lengkapnya! https://t.co/IDl4mm55PV via @kabarbintang.id #dispatch #KimSeonHo #SeonhoHada #seonho #shiba #2Days1NightS4 #Scandal #HometownChaChaCha #Trending #Viral #trend #KoreanUpdates"
6,2021-10-26 11:20:27+00:00,noonamel18,Pihak Kim Seon Ho Menolak Beri Pernyataan Terkait Artikel Dispatch yang Mengekspos Kebohongan Sang Mantan Pacar https://t.co/169xGj5EmU #KimSeonHo #dispatch #saltentertainment #Trending #trend #Viral #SeonhoHada #Korea #actorslife #HometownChaChaChaEp16 #Scandal
7,2021-10-26 11:17:13+00:00,noonamel18,Netizen Korea Berbalik Dukung Kim Seon Ho Setelah Keluarnya Artikel Dispatch yang Mengekspos Kebohongan Sang Mantan Pacar https://t.co/dL0tTfykuH #KimSeonHo #seonho #SeonhoHada #HometownChaChaChaEp16 #Scandal #choiyoungah #KoreanUpdates #dispatch #Dispatchkorea #Viral #trend
8,2021-10-22 08:10:04+00:00,ayummy_404,"Yg melibatkan PUBLIKÂ² FIGUR KOREA ntahbitu Idol,aktot/aktris bahkan MCÂ² ternama
Buat nutupin kasus yg besar  (Politik, Pemerintahan, Atlet dll) 
Membuat image dan karir mereka hancur serta menghilang dr dunia hiburan...

LANJUT ğŸ‘‡ğŸ‘‡ğŸ‘‡
#SCANDAL #KSH #KimSeonHo #korea #kpop"
9,2021-10-22 08:10:03+00:00,ayummy_404,"Ini menurut pendapat gw aja yah...

Bukan kah slm ini Korea bnyak mndapat perhatian dr fans internasional krn kagum sm bakat Idol, aktor/aktris, publik figur dan dramaÂ² Korea
Tp beberapa tahun belakangan ini knp banyak kasus
#SCANDAL #KSH #KimSeonHo #korea #kpop 

LANJUT ğŸ‘‡ğŸ‘‡ğŸ‘‡"
10,2021-10-21 14:12:38+00:00,valentineND,"ğ’©ğ’¶â„´ğ“‚â„¯ ğ’±ğ’¶ğ“â„¯ğ“ƒğ“‰ğ’¾ğ“ƒâ„¯: Kim Seon Ho admit that he is the controversial act... https://t.co/FKNP9jwSRs 
#actork #scandal"
11,2021-10-20 12:56:25+00:00,mainmainid_,"Setelah ramai soal postingan warganet anonim yang mengaku mantan pacar aktor K, #KimSeonHo hari ini menyampaikan permintaan maaf langsung dan mengakui bahwa aktor K adalah dirinya. 

https://t.co/sfeW8678Zj

#KimSeonHo #seonho #korean #KoreanUpdates #koreandrama #Scandal"
12,2021-10-20 12:55:15+00:00,mainmainid_,"Rabu pagi (20/10), Kim Seonho akhirnya mengeluarkan pernyataan resmi berupa permintaan maaf terhadap mantan pacarnya.

https://t.co/CIo7y13YN6

#KimSeonHo #Kecewa #seonho #HometownChaChaCha #Scandal"
